"";"is_paid";"num_subscribers";"rating";"num_published_lectures";"discount_price__amount";"price_detail__amount"
"140";TRUE;13712;4,26506;36;455;1280
"141";TRUE;9876;4,3898;26;455;3200
"142";TRUE;8111;4,34367;25;455;1600
"143";TRUE;7556;4,36594;29;0;12800
"144";TRUE;10924;4,45424;35;455;8640
"145";TRUE;16406;4,21029;120;455;8640
"146";TRUE;14958;4,35902;247;481;8960
"147";TRUE;19166;4,45428;135;455;8640
"148";TRUE;12244;4,40381;46;455;8640
"149";TRUE;28744;4,39662;5;455;1280
"150";TRUE;23932;4,11044;11;455;1280
"151";TRUE;7916;4,30947;11;455;3200
"152";TRUE;8188;4,3628;44;455;6080
"153";TRUE;7633;4,36324;48;455;8640
"154";TRUE;13004;4,45435;77;455;8640
"155";TRUE;9522;4,43797;51;455;3520
"156";TRUE;8861;4,5649;34;455;8640
"157";TRUE;8109;4,42156;12;455;1280
"158";TRUE;7182;4,435;19;455;1280
"159";TRUE;25334;3,65327;18;0;1280
"160";TRUE;5495;4,50763;45;0;1600
"161";TRUE;20336;4,40392;17;494;1600
"162";TRUE;7346;4,51829;32;455;6400
"163";TRUE;8502;4,247;61;455;2880
"164";TRUE;20072;4,57387;43;455;8640
"165";TRUE;19740;4,50605;56;455;6080
"166";TRUE;5302;4,38655;33;0;1280
"167";TRUE;7297;4,3746;27;455;1280
"168";TRUE;8832;4,28929;34;455;2880
"169";TRUE;29714;4,35075;17;455;6400
"170";TRUE;16888;4,42242;76;455;6080
"171";TRUE;8345;4,41008;19;0;5440
"172";TRUE;12236;4,60274;85;455;6400
"173";TRUE;6669;4,43334;19;0;3200
"174";TRUE;6948;4,40222;20;455;1920
"175";TRUE;21961;4,53399;76;455;8320
"176";TRUE;14527;4,12178;33;455;7360
"177";TRUE;11251;4,48389;122;455;8640
"178";TRUE;12207;4,5961;69;455;8640
"179";TRUE;17134;4,47349;68;455;8640
"180";TRUE;14265;4,32472;32;546;10240
"181";TRUE;8633;4,44931;61;0;6400
"182";TRUE;14164;4,45575;58;455;8640
"183";TRUE;10650;4,51402;46;2080;8320
"184";TRUE;31160,6073358524;4,62425;213;455;8640
"185";TRUE;13284;4,69332;64;462;8640
"186";TRUE;18909;4,38812;64;520;9600
"187";TRUE;17758;4,46792;244;455;8640
"188";TRUE;13359;4,48772;29;455;8640
"189";TRUE;26516;4,61348;17;520;1920
"190";TRUE;8934;4,40936;31;455;2880
"191";TRUE;25650;4,67184;67;455;8640
"192";TRUE;14976;4,48847;37;455;8640
"193";TRUE;16397;4,40644;28;455;8640
"194";TRUE;10481;4,51162;66;455;8640
"195";TRUE;4910;4,21767;6;455;3200
"196";TRUE;15664;4,5405;14;474;8960
"197";TRUE;20213;4,42275;54;455;5760
"198";TRUE;6806;4,39561;28;455;4160
"199";TRUE;31160,6073358524;4,5638;38;468;8640
"200";TRUE;31160,6073358524;4,36726;91;455;8640
"202";TRUE;31160,6073358524;4,17734;13;455;1280
"203";TRUE;7130;4,4505;33;455;6400
"204";TRUE;4122;4,32188;41;455;1600
"205";TRUE;26148;4,32759;600;488;9280
"206";TRUE;12535;4,15825;252;455;8640
"207";TRUE;4488;4,36141;26;455;6400
"208";TRUE;31160,6073358524;4,41161;78;455;8640
"209";TRUE;31160,6073358524;3,99013;41;455;6080
"210";TRUE;7355;4,15631;21;455;8640
"211";TRUE;5920;4,25638;7;0;2880
"212";TRUE;7816;4,46339;17;455;1600
"213";TRUE;14725;4,53076;123;455;8640
"214";TRUE;12113;4,52477;62;0;12800
"215";TRUE;14938;4,22789;17;455;6400
"216";TRUE;5245;4,534;15;455;1920
"217";TRUE;19030;4,2177;50;455;8640
"218";TRUE;11736;4,55794;125;455;8640
"219";TRUE;10905;4,50543;48;455;4800
"220";TRUE;6173;4,34685;9;455;3200
"221";TRUE;14849;4,57436;93;455;8640
"222";TRUE;12236;4,33008;32;455;8640
"223";TRUE;22613;4,64454;79;455;8640
"224";TRUE;5604;4,37929;17;0;6400
"225";TRUE;7119;4,54714;43;520;9280
"226";TRUE;11048;4,39441;31;481;6400
"227";TRUE;6184;4,52986;19;455;4800
"228";TRUE;10254;4,6158;61;455;8640
"229";TRUE;15966;4,15017;17;455;1280
"230";TRUE;31160,6073358524;4,47592;66;455;8640
"231";TRUE;31160,6073358524;4,52294;66;500;9280
"232";TRUE;9774;4,3368;43;455;7680
"233";TRUE;20308;4,58394;60;507;9600
"234";TRUE;12917;4,58137;125;455;8640
"235";TRUE;5835;4,29234;37;700;8640
"236";TRUE;11762;4,60343;87;455;8640
"237";TRUE;7068;4,25702;49;474;8960
"238";TRUE;14029;4,55431;52;455;7040
"239";TRUE;8284;4,43639;42;455;6400
"240";TRUE;3834;4,39363;9;455;4160
"241";TRUE;11122;4,29816;67;455;8640
"242";TRUE;6671;4,30587;51;514;9600
"243";TRUE;8568;4,53305;75;455;8640
"244";TRUE;8339;4,3541;66;455;5760
"245";TRUE;11307;4,52647;126;455;1280
"246";TRUE;5441;4,3197;36;455;3200
"247";TRUE;7026;4,1871;34;481;6080
"248";TRUE;8060;4,60537;63;455;8640
"250";TRUE;7807;4,15144;11;455;2560
"251";TRUE;11477;4,42593;16;455;1280
"252";TRUE;29496;4,48429;493;552;10240
"253";TRUE;6062;4,16388;19;468;3200
"254";TRUE;5416;4,25879;5;455;1280
"255";TRUE;5706;4,28764;38;455;8640
"256";TRUE;27968;4,5452;65;455;8640
"257";TRUE;31160,6073358524;4,31345;601;514;9600
"258";TRUE;8633;4,33751;31;455;1280
"259";TRUE;8002;4,41913;31;455;1280
"260";TRUE;20515;4,4584;91;481;8960
"261";TRUE;12507;4,43308;155;455;8640
"262";TRUE;5767;4,42854;32;640;2560
"263";TRUE;9695;4,5157;40;2080;8320
"264";TRUE;9448;4,42242;58;462;8640
"265";TRUE;12030;4,18738;60;462;8640
"266";TRUE;27427;4,03375;32;468;8000
"267";TRUE;9750;4,66574;54;455;6400
"268";TRUE;7990;4,31627;16;455;5760
"269";TRUE;27263;4,47479;83;455;6400
"270";TRUE;5204;4,37558;13;455;1280
"271";TRUE;12362;4,31781;79;0;6400
"272";TRUE;15456;4,11688;65;520;9600
"273";TRUE;5228;4,65299;51;455;7040
"274";TRUE;9413;4,5043;49;455;8640
"275";TRUE;26593;4,44865;25;455;6400
"276";TRUE;4192;4,30299;12;455;1920
"277";TRUE;6789;4,35284;24;474;7360
"278";TRUE;8803;4,52507;65;455;8640
"279";TRUE;12212;4,49244;36;455;8640
"280";TRUE;5976;4,37733;31;455;6400
"281";TRUE;8342;4,5402;49;455;8640
"282";TRUE;12840;4,54014;77;455;8640
"283";TRUE;12494;4,59075;154;468;8640
"284";TRUE;6425;4,62686;75;455;8640
"285";TRUE;10232;4,55917;47;455;6400
"286";TRUE;5537;4,25551;86;500;9280
"287";TRUE;9179;4,39435;30;455;1280
"289";TRUE;19340;4,55354;68;455;8640
"290";TRUE;11396;4,69311;28;455;3200
"291";TRUE;10933;4,38941;46;455;1280
"292";TRUE;14169;4,16461;16;455;6400
"293";TRUE;9777;4,64015;22;455;5760
"295";TRUE;6227;4,32069;20;455;8000
"296";TRUE;7068;4,50609;217;455;8640
"297";TRUE;4876;4,39145;33;462;3520
"298";TRUE;22015;4,5148;202;455;8640
"299";TRUE;11209;4,23505;36;468;8000
"300";TRUE;5608;4,27659;39;455;3200
"301";TRUE;6280;4,38991;79;481;8960
"303";TRUE;6752;4,65823;42;455;6400
"304";TRUE;5890;4,39126;22;455;6400
"305";TRUE;8268;3,7593;22;455;8640
"306";TRUE;19443;4,2064;41;455;4160
"307";TRUE;5249;4,31213;14;455;2240
"309";TRUE;4312;4,40901;30;455;2560
"310";TRUE;4887;4,51484;12;455;8640
"311";TRUE;4879;4,41869;38;455;1280
"312";TRUE;9048;4,11564;253;455;8640
"313";TRUE;5611;4,28206;48;455;3200
"314";TRUE;4450;4,47955;18;455;1920
"315";TRUE;6600;4,32339;39;455;8640
"316";TRUE;6012;4,48859;29;455;6400
"317";TRUE;31160,6073358524;4,30758;49;455;8640
"318";TRUE;6874;4,27029;76;455;8640
"319";TRUE;31160,6073358524;4,11026;57;455;8640
"320";TRUE;7003;4,25381;48;494;6080
"321";TRUE;7247;4,61637;69;455;6400
"322";TRUE;9068;4,61348;59;455;6080
"323";TRUE;15619;3,89829;55;488;9280
"324";TRUE;10313;4,34367;36;455;3520
"325";TRUE;6688;4,26229;61;455;4800
"326";TRUE;4764;4,42545;30;455;8640
"327";TRUE;5322;4,50473;27;468;8640
"328";TRUE;6001;4,3289;28;455;6400
"329";TRUE;10355;4,42937;26;455;8640
"330";TRUE;3149;4,3888;31;455;3200
"331";TRUE;11241;4,51583;105;455;3200
"332";TRUE;5530;4,48523;61;455;4480
"333";TRUE;3466;4,41927;208;0;4160
"334";TRUE;7338;4,36395;68;455;8000
"335";TRUE;11418;4,55019;69;455;8640
"336";TRUE;5048;4,17297;26;474;8960
"337";TRUE;10347;4,3345;53;455;6720
"338";TRUE;4612;4,50821;39;2880;8640
"339";TRUE;26248;4,47745;45;455;8640
"340";TRUE;4361;4,3295;21;455;6400
"341";TRUE;4373;4,40509;26;455;3840
"342";TRUE;12376;4,60076;28;455;8640
"343";TRUE;7883;4,33547;28;455;8000
"344";TRUE;5229;4,55536;54;455;8640
"345";TRUE;3070;4,35091;29;455;1280
"346";TRUE;6467;4,62812;73;455;8640
"347";TRUE;7537;4,50218;38;455;8640
"348";TRUE;13356;4,64662;28;455;5760
"349";TRUE;10033;4,46598;74;468;8640
"350";TRUE;2726;4,51579;32;455;5760
"351";TRUE;4116;4,08306;299;0;4800
"352";TRUE;13619;4,46396;57;468;6400
"353";TRUE;4777;4,25686;45;0;4160
"354";TRUE;2876;4,49323;10;455;2880
"355";TRUE;5230;4,26887;21;455;5120
"356";TRUE;31160,6073358524;4,37283;141;455;8640
"357";TRUE;4936;4,23504;23;455;8640
"358";TRUE;3660;4,31575;25;455;1600
"359";TRUE;4839;4,49789;26;0;12800
"360";TRUE;8251;4,33891;67;455;8640
"361";TRUE;22026;4,39268;109;455;3200
"362";TRUE;18065;4,53757;55;455;8640
"363";TRUE;31160,6073358524;3,90205;45;455;6080
"364";TRUE;16789;4,31962;59;455;6720
"365";TRUE;15095;4,39127;70;455;6080
"366";TRUE;7138;4,58557;267;3200;8640
"367";TRUE;6902;4,32987;30;455;3840
"368";TRUE;15887;4,4261;47;455;8640
"369";TRUE;13070;4,59784;64;455;1280
"370";TRUE;3910;4,50687;19;455;8640
"371";TRUE;5997;4,02658;52;960;3840
"372";TRUE;4137;4,4519;38;481;8960
"373";TRUE;7139;4,50137;45;455;6400
"374";TRUE;4088;4,43525;28;462;1600
"375";TRUE;3995;4,35828;35;455;4800
"376";TRUE;6725;4,6396;34;455;8640
"377";TRUE;10180;4,40275;44;455;8640
"378";TRUE;6117;4,48896;102;455;8640
"379";TRUE;16968;4,33755;17;455;6400
"380";TRUE;6457;4,22093;137;455;4800
"381";TRUE;3468;4,30274;27;455;2880
"382";TRUE;16753;4,44888;102;455;8640
"383";TRUE;3150;4,31517;12;455;1920
"384";TRUE;4365;4,49064;44;455;3200
"385";TRUE;6124;4,39165;28;455;4160
"386";TRUE;4542;4,42193;21;468;4800
"387";TRUE;17026;4,28067;22;455;1920
"388";TRUE;5839;4,46669;68;455;2880
"389";TRUE;7283;4,06126;14;0;6400
"390";TRUE;8590;4,40892;45;455;8640
"391";TRUE;5866;4,22549;37;468;1600
"392";TRUE;5262;4,59837;63;455;8640
"393";TRUE;6031;4,69163;17;455;3840
"394";TRUE;3889;4,30781;12;455;3200
"395";TRUE;4280;4,40044;14;0;3200
"396";TRUE;20439;4,05844;38;455;8640
"397";TRUE;31160,6073358524;4,42252;13;455;1280
"398";TRUE;5783;4,46986;92;455;8640
"399";TRUE;4120;4,48969;80;488;9280
"400";TRUE;3649;4,42813;29;455;4800
"401";TRUE;4645;4,4608;57;455;3200
"402";TRUE;9979;4,65647;56;455;8640
"404";TRUE;5139;4,21449;37;455;6400
"405";TRUE;4731;4,27536;11;455;2240
"406";TRUE;31160,6073358524;4,16463;46;455;1920
"407";TRUE;5187;4,35819;45;455;5760
"408";TRUE;28018;4,19479;28;462;1920
"409";TRUE;5662;4,36929;21;455;8000
"410";TRUE;10673;4,33252;561;481;8960
"411";TRUE;7992;4,38453;77;455;8640
"412";TRUE;5286;4,78457;136;455;8640
"414";TRUE;31160,6073358524;4,21257;26;455;6400
"415";TRUE;25930;4,21009;26;455;1280
"416";TRUE;4379;4,46345;38;507;9280
"417";TRUE;5691;4,45293;328;507;9600
"418";TRUE;19859;4,47714;68;455;8640
"419";TRUE;4517;4,40681;35;455;8640
"420";TRUE;16302;4,22467;20;455;6400
"421";TRUE;10064;4,75447;70;455;7680
"422";TRUE;31160,6073358524;4,30846;14;455;8640
"423";TRUE;3582;4,27352;40;455;5440
"424";TRUE;4100;4,20656;32;455;6400
"425";TRUE;5921;4,61972;505;455;8640
"427";TRUE;8581;4,65956;124;455;8640
"428";TRUE;26990;4,25083;10;455;8640
"429";TRUE;5144;4,55504;10;455;2560
"430";TRUE;4773;3,97821;12;455;2880
"431";TRUE;31160,6073358524;2,2146;6;455;1600
"432";TRUE;7623;4,2865;72;455;3840
"433";TRUE;24993;3,86609;25;455;8640
"434";TRUE;24952;4,64247;72;455;8640
"435";TRUE;3563;4,3425;21;462;3200
"436";TRUE;5773;4,06542;23;455;1280
"437";TRUE;3676;4,0642;59;455;8640
"438";TRUE;5722;4,38917;18;455;6080
"439";TRUE;9044;4,51553;33;455;6400
"440";TRUE;2855;4,32841;33;455;1280
"441";TRUE;9842;4,3143;74;481;8960
"442";TRUE;7327;4,15123;21;455;8640
"443";TRUE;31160,6073358524;3,86514;45;462;8640
"444";TRUE;2943;4,3478;14;468;6400
"445";TRUE;8181;4,42693;91;455;8640
"446";TRUE;3990;4,3381;45;455;7040
"447";TRUE;1957;4,14928;9;481;2880
"448";TRUE;8242;4,49257;64;455;8640
"449";TRUE;9236;3,96166;17;468;8640
"450";TRUE;3883;4,48285;22;455;8640
"451";TRUE;7797;4,36982;431;455;8640
"452";TRUE;3747;4,21356;22;455;6080
"453";TRUE;4015;4,0684;39;455;8640
"454";TRUE;3925;4,23477;19;455;2560
"455";TRUE;3522;4,4083;15;455;1280
"456";TRUE;4639;4,41265;190;455;3200
"457";TRUE;2772;4,46266;35;455;6400
"458";TRUE;17807;4,69866;104;455;8640
"459";TRUE;26889;4,36821;149;462;3200
"460";TRUE;6067;4,59935;229;455;8640
"461";TRUE;2306;4,56055;22;0;12800
"462";TRUE;3159;4,41958;68;2080;8320
"463";TRUE;5944;4,69036;80;455;8640
"464";TRUE;2861;4,41539;19;0;12160
"465";TRUE;2918;4,33603;11;455;1600
"466";TRUE;6475;4,54362;56;455;8640
"467";TRUE;6926;4,48133;29;455;8000
"468";TRUE;2585;4,35362;10;455;1920
"469";TRUE;5593;4,68889;12;455;6400
"470";TRUE;6351;4,2269;67;2720;8640
"471";TRUE;31160,6073358524;4,49248;50;455;8640
"472";TRUE;10092;4,37018;52;455;8640
"473";TRUE;4074;4,15641;29;1920;7680
"474";TRUE;5810;4,38246;97;0;2240
"475";TRUE;3476;4,30738;35;455;6400
"476";TRUE;6628;4,04657;225;455;8640
"477";TRUE;5963;4,59673;25;455;8640
"478";TRUE;2974;4,16547;59;455;5120
"479";TRUE;2612;4,38555;34;455;2240
"481";TRUE;3256;4,30229;54;455;5760
"482";TRUE;8334;4,30514;6;455;8640
"483";TRUE;3349;4,43672;49;455;8640
"484";TRUE;3291;4,35076;40;455;4800
"485";TRUE;31160,6073358524;3,73616;38;455;8640
"486";TRUE;6981;4,75591;107;455;8640
"487";TRUE;4451;4,58764;92;455;6400
"488";TRUE;5278;4,34778;50;455;8640
"489";TRUE;7861;4,5585;103;455;8640
"490";TRUE;6738;4,67079;38;455;8640
"491";TRUE;31160,6073358524;4,43079;699;455;8640
"492";TRUE;3472;4,34758;97;3200;8640
"493";TRUE;12835;4,13651;13;455;1280
"494";TRUE;3232;4,07803;11;455;1280
"495";TRUE;2288;4,55046;10;455;1280
"496";TRUE;3009;4,18269;29;455;4160
"497";TRUE;6011;4,33232;42;455;6400
"498";TRUE;3238;4,54131;184;455;8640
"499";TRUE;5551;4,40056;18;494;3200
"500";TRUE;5080;4,52016;560;0;12800
"501";TRUE;6519;4,61758;51;455;8640
"502";TRUE;7218;4,05204;59;455;8640
"503";TRUE;3395;4,18167;25;455;8640
"504";TRUE;6922;4,527;14;455;3200
"505";TRUE;5107;4,27346;50;455;8640
"506";TRUE;16708;3,73248;5;455;1280
"507";TRUE;6931;4,40204;80;494;6400
"508";TRUE;3450;4,31435;49;468;4800
"509";TRUE;2346;4,2006;12;455;1920
"510";TRUE;5351;4,73138;72;455;8640
"511";TRUE;5287;4,50498;27;455;8640
"512";TRUE;5424;4,57446;20;468;7040
"513";TRUE;1928;4,26332;26;455;1280
"514";TRUE;6661;4,62598;98;455;8640
"515";TRUE;7766;4,29638;77;455;6080
"516";TRUE;1326;4,29874;86;0;2560
"517";TRUE;4507;3,97723;30;455;6080
"518";TRUE;10623;4,38137;93;455;3200
"519";TRUE;20798;4,60675;22;455;8640
"520";TRUE;4157;4,56794;41;455;6400
"521";TRUE;2635;4,42798;10;455;3200
"522";TRUE;3109;4,3754;38;455;7680
"523";TRUE;5122;4,50291;58;468;1920
"524";TRUE;5261;4,433;109;455;4480
"525";TRUE;5785;4,46038;17;455;1600
"526";TRUE;3232;4,25636;76;455;6400
"527";TRUE;16065;4,44338;56;455;8640
"528";TRUE;3648;4,43051;89;455;1920
"529";TRUE;4503;4,48833;74;462;7040
"530";TRUE;5379;4,17267;41;455;1280
"531";TRUE;3623;4,23913;119;455;6080
"532";TRUE;4600;4,49556;76;455;8640
"533";TRUE;3052;4,17992;47;455;8640
"534";TRUE;26916;4,51737;111;455;3200
"535";TRUE;5036;4,10338;99;455;8640
"536";TRUE;5057;4,60165;71;455;8640
"537";TRUE;4046;4,20566;66;520;9600
"538";TRUE;3048;4,30831;92;455;8640
"539";TRUE;3347;4,22868;56;455;3200
"540";TRUE;23483;4,18543;668;455;8640
"541";TRUE;4850;4,19255;81;455;8640
"542";TRUE;2478;4,35852;30;455;1280
"543";TRUE;23909;4,58013;74;0;6400
"544";TRUE;19348;4,23437;32;455;1280
"545";TRUE;4753;4,13621;58;481;8960
"546";TRUE;31160,6073358524;4,4521;601;514;9600
"547";TRUE;31160,6073358524;4,36007;42;455;6080
"548";TRUE;3806;4,70108;91;455;1600
"549";TRUE;3003;4,54075;49;455;1280
"550";TRUE;10484;4,37978;49;455;8640
"551";TRUE;2910;4,39563;280;481;8960
"552";TRUE;2372;4,40617;5;455;1280
"553";TRUE;2486;4,31989;38;455;5440
"554";TRUE;2085;4,26045;12;455;2560
"555";TRUE;13548;4,17483;22;455;8640
"556";TRUE;3194;4,33118;25;455;8640
"557";TRUE;16706;4,54596;53;468;8640
"558";TRUE;5684;4,54807;22;474;8960
"559";TRUE;3020;4,47254;45;455;8640
"560";TRUE;5622;4,54625;125;455;8640
"561";TRUE;12786;4,28674;26;455;8640
"562";TRUE;2119;4,43111;33;455;8640
"563";TRUE;4559;4,5134;19;455;6400
"564";TRUE;4562;4,52297;10;455;3200
"565";TRUE;8098;4,39146;40;455;8640
"566";TRUE;19310;4,64852;22;455;8640
"567";TRUE;2574;4,58605;48;0;12800
"568";TRUE;1160;4,54068;8;1680;6720
"569";TRUE;3443;4,54344;38;474;8960
"570";TRUE;2893;4,27457;40;468;5440
"571";TRUE;3546;4,41881;27;455;2560
"572";TRUE;6417;4,42063;31;455;8320
"573";TRUE;5016;4,03862;26;455;2560
"574";TRUE;31160,6073358524;4,67229;72;611;11520
"576";TRUE;3372;4,36355;17;468;6080
"577";TRUE;2843;4,56061;55;455;6400
"578";TRUE;4096;4,41884;95;455;5120
"579";TRUE;31160,6073358524;3,82216;11;455;8640
"580";TRUE;5922;4,51879;64;462;8640
"581";TRUE;4967;4,41558;45;455;1920
"582";TRUE;2318;4,52518;12;2400;8640
"583";TRUE;12483;3,59583;27;455;3200
"584";TRUE;6109;3,82805;32;455;1280
"585";TRUE;4144;4,54086;45;455;8640
"586";TRUE;5021;4,43862;47;2720;8640
"587";TRUE;4594;4,41132;29;455;8640
"588";TRUE;3535;4,55157;20;455;2880
"589";TRUE;31160,6073358524;4,36652;29;455;8640
"590";TRUE;8094;4,2052;28;494;9280
"591";TRUE;5129;4,53022;97;455;8640
"592";TRUE;3605;4,41665;29;455;8640
"593";TRUE;4971;4,17723;34;455;8640
"594";TRUE;4700;4,28474;41;455;6080
"595";TRUE;12914;4,41067;89;455;8640
"596";TRUE;7272;4,52135;28;455;5760
"597";TRUE;4770;4,28336;11;455;1920
"598";TRUE;2717;4,30428;112;455;8640
"599";TRUE;4866;4,08691;24;455;1600
"600";TRUE;6759;4,49597;52;455;4800
"602";TRUE;3479;4,24426;126;455;8640
"603";TRUE;2614;4,08174;18;800;3200
"604";TRUE;9376;4,76682;62;455;6080
"605";TRUE;4385;4,47008;129;455;8640
"606";TRUE;5673;4,78611;43;455;8640
